exp_id,strategy,dynamic_updates,dynamic_threshold,learning_rate,sampling_k,epochs,seed,lora_r,lora_alpha,target_modules,trainable_params,total_params,trainable_pct,maj@1,runtime_sec,timestamp,status,eval_path
9b227c0617,full_ft,10,10,2e-05,5,1,42,16,32,"[""q_proj"", ""v_proj""]",9241705984,9241705984,1.0,0.735,1058.4656603336334,20260331-182707,ok,/workspace/GSM8K_9B_Results/eval_0.735_20260331-182707.json
4601945a14,lora,10,10,2e-05,5,1,42,16,32,"[""q_proj"", ""v_proj""]",8945664,9250651648,0.0009670306850149,0.7275,793.2111160755157,20260331-185446,ok,/workspace/GSM8K_9B_Results/eval_0.728_20260331-185446.json
30f5678450,dynamic_grad_norm,10,10,2e-05,5,1,42,16,32,"[""q_proj"", ""v_proj""]",815808512,9250651648,0.0881893020127267,0.76,770.2381637096405,20260331-191956,ok,/workspace/GSM8K_9B_Results/eval_0.760_20260331-191956.json
e82684b769,full_ft,10,10,2e-05,5,2,8,16,32,"[""q_proj"", ""v_proj""]",9241705984,9241705984,1.0,0.731614859742229,1985.460925579071,20260401-090227,ok,/workspace/GSM8K_9B_Results/eval_0.732_20260401-090227.json
564984c19c,lora,10,10,2e-05,5,2,8,16,32,"[""q_proj"", ""v_proj""]",8945664,9250651648,0.0009670306850149,0.733131159969674,1572.521700143814,20260401-101617,ok,/workspace/GSM8K_9B_Results/eval_0.733_20260401-101617.json
9a82476289,dynamic_grad_norm,10,10,2e-05,5,2,8,16,32,"[""q_proj"", ""v_proj""]",815808512,9250651648,0.0881893020127267,0.7672479150871873,1540.7744534015656,20260401-112153,ok,/workspace/GSM8K_9B_Results/eval_0.767_20260401-112153.json
9077460c41,full_ft,10,10,2e-05,5,2,25,16,32,"[""q_proj"", ""v_proj""]",9241705984,9241705984,1.0,0.7422289613343442,2004.4196243286133,20260401-123641,ok,/workspace/GSM8K_9B_Results/eval_0.742_20260401-123641.json
1b229506c3,lora,10,10,2e-05,5,2,25,16,32,"[""q_proj"", ""v_proj""]",8945664,9250651648,0.0009670306850149,0.7225170583775588,1598.4754135608673,20260401-135049,ok,/workspace/GSM8K_9B_Results/eval_0.723_20260401-135049.json
483126a981,dynamic_grad_norm,10,10,2e-05,5,2,25,16,32,"[""q_proj"", ""v_proj""]",815808512,9250651648,0.0881893020127267,0.800606520090978,1538.8469944000244,20260401-145755,ok,/workspace/GSM8K_9B_Results/eval_0.801_20260401-145755.json
5fe02c378e,full_ft,10,10,2e-05,5,2,42,16,32,"[""q_proj"", ""v_proj""]",9241705984,9241705984,1.0,0.7543593631539045,2008.080917596817,20260401-161345,ok,/workspace/GSM8K_9B_Results/eval_0.754_20260401-161345.json
dd20ec450a,lora,10,10,2e-05,5,2,42,16,32,"[""q_proj"", ""v_proj""]",8945664,9250651648,0.0009670306850149,0.7232752084912812,1584.5012426376345,20260401-172848,ok,/workspace/GSM8K_9B_Results/eval_0.723_20260401-172848.json
a216ac7d4b,dynamic_grad_norm,10,10,2e-05,5,2,42,16,32,"[""q_proj"", ""v_proj""]",815808512,9250651648,0.0881893020127267,0.7915087187263078,1532.6487574577332,20260401-183520,ok,/workspace/GSM8K_9B_Results/eval_0.792_20260401-183520.json
d9314e3ae2,dynamic_grad_norm,6,10,2e-05,5,2,8,16,32,"[""q_proj"", ""v_proj""]",815808512,9250651648,0.0881893020127267,0.7869598180439727,1536.3070466518402,20260401-194117,ok,/workspace/GSM8K_9B_Results/eval_0.787_20260401-194117.json
975170add3,dynamic_grad_norm,6,25,2e-05,5,2,8,16,32,"[""q_proj"", ""v_proj""]",684965888,9250651648,0.0740451499055302,0.7634571645185747,1547.463151693344,20260401-204910,ok,/workspace/GSM8K_9B_Results/eval_0.763_20260401-204910.json
60071ead3e,dynamic_grad_norm,10,25,2e-05,5,2,8,16,32,"[""q_proj"", ""v_proj""]",684965888,9250651648,0.0740451499055302,0.7642153146322972,1542.2737176418304,20260401-215642,ok,/workspace/GSM8K_9B_Results/eval_0.764_20260401-215642.json
b1ae94b1da,dynamic_grad_norm,6,10,2e-05,5,2,25,16,32,"[""q_proj"", ""v_proj""]",815808512,9250651648,0.0881893020127267,0.7740712661106899,1533.2567205429075,20260401-230241,ok,/workspace/GSM8K_9B_Results/eval_0.774_20260401-230241.json
d5187282ce,dynamic_grad_norm,6,25,2e-05,5,2,25,16,32,"[""q_proj"", ""v_proj""]",684965888,9250651648,0.0740451499055302,0.7869598180439727,1539.3242032527924,20260402-001009,ok,/workspace/GSM8K_9B_Results/eval_0.787_20260402-001009.json
bd87e59e5c,dynamic_grad_norm,10,25,2e-05,5,2,25,16,32,"[""q_proj"", ""v_proj""]",684965888,9250651648,0.0740451499055302,0.775587566338135,1533.5048837661743,20260402-011742,ok,/workspace/GSM8K_9B_Results/eval_0.776_20260402-011742.json
60d2c40bfd,dynamic_grad_norm,6,10,2e-05,5,2,42,16,32,"[""q_proj"", ""v_proj""]",815808512,9250651648,0.0881893020127267,0.7892342683851402,1526.181146144867,20260402-022343,ok,/workspace/GSM8K_9B_Results/eval_0.789_20260402-022343.json
424b833b53,dynamic_grad_norm,6,25,2e-05,5,2,42,16,32,"[""q_proj"", ""v_proj""]",684965888,9250651648,0.0740451499055302,0.77710386656558,1530.5089573860168,20260402-033135,ok,/workspace/GSM8K_9B_Results/eval_0.777_20260402-033135.json
b331aad733,dynamic_grad_norm,10,25,2e-05,5,2,42,16,32,"[""q_proj"", ""v_proj""]",684965888,9250651648,0.0740451499055302,0.77710386656558,1529.1414482593536,20260402-043916,ok,/workspace/GSM8K_9B_Results/eval_0.777_20260402-043916.json
73d803feb0,lora,10,25,2e-05,5,2,8,32,64,"[""q_proj"", ""v_proj""]",17891328,9259597312,0.0019321928802253,0.7437452615617892,1579.242279291153,20260402-055420,ok,/workspace/GSM8K_9B_Results/eval_0.744_20260402-055420.json
8c07187ec9,lora,10,25,2e-05,5,2,8,64,128,"[""q_proj"", ""v_proj""]",35782656,9277488640,0.0038569334211548,0.7407126611068992,1586.9447026252749,20260402-070948,ok,/workspace/GSM8K_9B_Results/eval_0.741_20260402-070948.json
f5b47539d4,lora,10,25,2e-05,5,2,25,32,64,"[""q_proj"", ""v_proj""]",17891328,9259597312,0.0019321928802253,0.7308567096285065,1577.364496231079,20260402-082440,ok,/workspace/GSM8K_9B_Results/eval_0.731_20260402-082440.json
ae80056ed6,lora,10,25,2e-05,5,2,25,64,128,"[""q_proj"", ""v_proj""]",35782656,9277488640,0.0038569334211548,0.7467778620166793,1583.7512114048004,20260402-094012,ok,/workspace/GSM8K_9B_Results/eval_0.747_20260402-094012.json
ef6e037db6,lora,10,25,2e-05,5,2,42,32,64,"[""q_proj"", ""v_proj""]",17891328,9259597312,0.0019321928802253,0.7354056103108415,1584.745983362198,20260402-105628,ok,/workspace/GSM8K_9B_Results/eval_0.735_20260402-105628.json
6457b82424,lora,10,25,2e-05,5,2,42,64,128,"[""q_proj"", ""v_proj""]",35782656,9277488640,0.0038569334211548,0.7376800606520091,1592.6889362335205,20260402-121238,ok,/workspace/GSM8K_9B_Results/eval_0.738_20260402-121238.json
3e5a68c27f,lora,10,25,2e-05,5,2,8,16,32,"[""k_proj"", ""o_proj"", ""q_proj"", ""v_proj""]",17891328,9259597312,0.0019321928802253,0.7194844579226687,1787.7517278194427,20260402-134103,ok,/workspace/GSM8K_9B_Results/eval_0.719_20260402-134103.json
bb98ee68bc,dynamic_grad_norm,10,10,2e-05,5,2,8,16,32,"[""k_proj"", ""o_proj"", ""q_proj"", ""v_proj""]",1631617024,9259597312,0.1762082052839923,0.7558756633813495,1625.770324230194,20260402-145241,ok,/workspace/GSM8K_9B_Results/eval_0.756_20260402-145241.json
cdbc4d84e9,lora,10,10,2e-05,5,2,25,16,32,"[""k_proj"", ""o_proj"", ""q_proj"", ""v_proj""]",17891328,9259597312,0.0019321928802253,0.7475360121304018,1788.5694682598114,20260402-162100,ok,/workspace/GSM8K_9B_Results/eval_0.748_20260402-162100.json
a2420c9a3c,dynamic_grad_norm,10,10,2e-05,5,2,25,16,32,"[""k_proj"", ""o_proj"", ""q_proj"", ""v_proj""]",1631617024,9259597312,0.1762082052839923,0.7884761182714177,1625.412831783295,20260402-173047,ok,/workspace/GSM8K_9B_Results/eval_0.788_20260402-173047.json
